Indicador;Sexo;Mes;L;M;S
altura;M;0;1.0;49.8842;0.03795
altura;M;1;1.0;54.6645;0.03559
altura;M;2;1.0;58.4384;0.03423
altura;M;3;1.0;61.4013;0.03329
altura;M;4;1.0;63.9041;0.03257
altura;M;5;1.0;65.8912;0.03204
altura;M;6;1.0;67.6435;0.03165
altura;M;7;1.0;69.1615;0.03139
altura;M;8;1.0;70.6224;0.03124
altura;M;9;1.0;71.9714;0.03117
altura;M;10;1.0;73.2653;0.03118
altura;M;11;1.0;74.5464;0.03125
altura;M;12;1.0;75.7391;0.03137
altura;M;13;1.0;76.9304;0.03154
altura;M;14;1.0;78.0451;0.03174
altura;M;15;1.0;79.1613;0.03197
altura;M;16;1.0;80.2113;0.03222
altura;M;17;1.0;81.234;0.03249
altura;M;18;1.0;82.2628;0.03279
altura;M;19;1.0;83.2318;0.0331
altura;M;20;1.0;84.2074;0.03342
altura;M;21;1.0;85.1291;0.03375
altura;M;22;1.0;86.0589;0.0341
altura;M;23;1.0;86.9392;0.03445
altura;M;24;1.0;87.1303;0.03508
altura;M;25;1.0;87.9737;0.03542
altura;M;26;1.0;88.7964;0.03576
altura;M;27;1.0;89.6247;0.0361
altura;M;28;1.0;90.4056;0.03642
altura;M;29;1.0;91.1906;0.03674
altura;M;30;1.0;91.9297;0.03704
altura;M;31;1.0;92.6735;0.03733
altura;M;32;1.0;93.3753;0.03761
altura;M;33;1.0;94.0612;0.03787
altura;M;34;1.0;94.7559;0.03812
altura;M;35;1.0;95.4168;0.03836
altura;M;36;1.0;96.0889;0.03858
altura;M;37;1.0;96.7298;0.03879
altura;M;38;1.0;97.3827;0.039
altura;M;39;1.0;98.006;0.03919
altura;M;40;1.0;98.6412;0.03937
altura;M;41;1.0;99.2471;0.03954
altura;M;42;1.0;99.8441;0.0397
altura;M;43;1.0;100.4522;0.03986
altura;M;44;1.0;101.0326;0.04002
altura;M;45;1.0;101.6246;0.04017
altura;M;46;1.0;102.191;0.04031
altura;M;47;1.0;102.7706;0.04045
altura;M;48;1.0;103.3273;0.04059
altura;M;49;1.0;103.8806;0.04073
